"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y","age_group"
51,"management","single","tertiary","no",102127,"no","no","cellular",3,"jun",90,1,-1,0,"unknown","no","45-54"
59,"management","married","tertiary","no",98417,"no","no","telephone",20,"nov",145,5,-1,0,"unknown","no","55-64"
84,"retired","married","secondary","no",81204,"no","no","telephone",28,"dec",679,1,313,2,"other","yes","65+"
84,"retired","married","secondary","no",81204,"no","no","telephone",1,"apr",390,1,94,3,"success","yes","65+"
60,"retired","married","primary","no",71188,"no","no","cellular",6,"oct",205,1,-1,0,"unknown","no","55-64"
56,"management","divorced","tertiary","no",66721,"no","no","cellular",8,"aug",442,2,-1,0,"unknown","no","55-64"
52,"blue-collar","married","primary","no",66653,"no","no","cellular",14,"aug",109,3,-1,0,"unknown","no","45-54"
59,"admin.","married",NA,"no",64343,"no","no","cellular",6,"aug",45,4,-1,0,"unknown","no","55-64"
32,"entrepreneur","single","tertiary","no",59649,"no","no","cellular",1,"sep",69,2,-1,0,"unknown","no","25-34"
56,"blue-collar","married","secondary","no",58932,"no","no","telephone",7,"jul",339,2,-1,0,"unknown","no","55-64"
44,"admin.","married","secondary","no",58544,"yes","no","unknown",7,"may",144,2,-1,0,"unknown","no","35-44"
50,"services","married","secondary","no",57435,"yes","no","cellular",21,"nov",319,3,-1,0,"unknown","no","45-54"
43,"admin.","single","secondary","no",56831,"no","no","unknown",15,"may",243,1,-1,0,"unknown","no","35-44"
61,"self-employed","divorced","tertiary","no",52587,"no","no","cellular",10,"aug",290,1,-1,0,"unknown","yes","55-64"
61,"self-employed","divorced","tertiary","no",52587,"no","no","cellular",15,"feb",394,3,189,1,"success","yes","55-64"
40,"management","married","tertiary","no",52527,"no","no","cellular",21,"aug",140,11,-1,0,"unknown","no","35-44"
58,"entrepreneur","married","primary","no",52499,"no","no","unknown",6,"jun",198,2,-1,0,"unknown","no","55-64"
56,"entrepreneur","married","tertiary","no",51439,"no","yes","cellular",8,"jul",325,1,-1,0,"unknown","no","55-64"
38,"admin.","single","tertiary","no",45789,"no","no","telephone",21,"jul",21,31,-1,0,"unknown","no","35-44"
39,"technician","single",NA,"no",45248,"yes","no","unknown",6,"may",1623,1,-1,0,"unknown","yes","35-44"
59,"housemaid","divorced","secondary","no",45141,"no","no","unknown",6,"jun",42,1,-1,0,"unknown","no","55-64"
59,"unemployed","divorced","secondary","no",44134,"no","no","cellular",3,"feb",117,1,-1,0,"unknown","no","55-64"
31,"management","single","tertiary","no",44128,"no","no","cellular",21,"nov",74,1,-1,0,"unknown","no","25-34"
55,"management","single","tertiary","no",43074,"yes","no","cellular",25,"aug",92,6,-1,0,"unknown","no","45-54"
42,"entrepreneur","married","tertiary","no",42045,"no","no","cellular",8,"aug",205,2,-1,0,"unknown","no","35-44"
55,"entrepreneur","married","tertiary","no",41923,"no","no","cellular",6,"aug",69,3,-1,0,"unknown","no","45-54"
43,"management","married","tertiary","no",41630,"no","no","cellular",18,"aug",68,4,-1,0,"unknown","no","35-44"
59,"retired","married","tertiary","no",41242,"no","no","cellular",21,"nov",161,1,-1,0,"unknown","no","55-64"
36,"unemployed","married","tertiary","no",39385,"no","no","cellular",1,"oct",120,1,-1,0,"unknown","no","35-44"
55,"management","married","tertiary","no",39098,"no","no","cellular",27,"may",236,3,-1,0,"unknown","no","45-54"
31,"management","single","tertiary","no",38279,"no","no","cellular",16,"jul",225,2,-1,0,"unknown","no","25-34"
45,"management","married","tertiary","no",37378,"yes","no","unknown",14,"may",167,1,-1,0,"unknown","no","35-44"
46,"management","married","tertiary","no",37378,"yes","no","cellular",14,"oct",146,1,518,1,"failure","no","45-54"
54,"management","married","tertiary","no",37176,"no","no","cellular",21,"nov",206,1,-1,0,"unknown","no","45-54"
75,"retired","divorced","primary","no",37127,"no","no","cellular",11,"feb",505,1,-1,0,"unknown","no","65+"
51,"entrepreneur","married","tertiary","no",36935,"yes","no","cellular",21,"nov",41,1,-1,0,"unknown","no","45-54"
48,"management","married","secondary","no",36686,"no","no","cellular",30,"apr",295,1,-1,0,"unknown","no","45-54"
29,"management","single","tertiary","no",36252,"yes","no","cellular",30,"apr",501,1,-1,0,"unknown","yes","25-34"
50,"unemployed","married","secondary","no",36221,"no","no","cellular",21,"nov",13,2,-1,0,"unknown","no","45-54"
45,"self-employed","married","tertiary","no",35589,"no","no","telephone",18,"nov",570,2,-1,0,"unknown","no","35-44"
35,"self-employed","married","tertiary","no",35368,"yes","no","unknown",21,"may",63,1,-1,0,"unknown","no","25-34"
32,"technician","single","tertiary","no",34646,"no","no","telephone",13,"aug",618,9,-1,0,"unknown","yes","25-34"
59,"self-employed","married","tertiary","no",34247,"yes","no","cellular",17,"nov",66,2,-1,0,"unknown","no","55-64"
53,"management","married","tertiary","no",34230,"yes","yes","cellular",7,"may",279,1,358,9,"other","no","45-54"
58,"retired","married","secondary","no",32948,"no","no","unknown",29,"may",364,2,-1,0,"unknown","no","55-64"
59,"retired","married","secondary","no",32948,"no","no","cellular",19,"nov",243,1,174,2,"failure","no","55-64"
61,"retired","married","tertiary","no",32685,"no","no","cellular",2,"mar",1447,2,-1,0,"unknown","yes","55-64"
53,"management","married","tertiary","no",32464,"no","no","cellular",19,"nov",135,4,-1,0,"unknown","no","45-54"
31,"technician","single","secondary","no",31868,"no","no","telephone",14,"aug",34,6,-1,0,"unknown","no","25-34"
45,"technician","married","tertiary","no",31630,"no","no","cellular",30,"apr",209,1,-1,0,"unknown","no","35-44"
46,"technician","married","tertiary","no",31630,"no","no","cellular",30,"nov",448,2,214,1,"failure","no","45-54"
45,"management","married","tertiary","no",31472,"no","no","cellular",19,"jul",568,7,-1,0,"unknown","yes","35-44"
71,"retired","married","secondary","no",29941,"no","no","telephone",18,"jun",80,1,71,3,"other","no","65+"
54,"management","divorced","tertiary","no",29887,"yes","no","unknown",16,"may",865,1,-1,0,"unknown","no","45-54"
55,"management","divorced","tertiary","no",29484,"no","no","cellular",20,"nov",151,2,-1,0,"unknown","no","45-54"
35,"entrepreneur","married","primary","no",29397,"yes","no","cellular",21,"nov",166,1,-1,0,"unknown","no","25-34"
77,"retired","married","primary","no",29340,"no","no","cellular",15,"mar",257,1,91,2,"other","yes","65+"
44,"services","married","secondary","no",29312,"no","no","unknown",13,"may",226,1,-1,0,"unknown","no","35-44"
31,"management","married","tertiary","no",29230,"no","no","cellular",25,"aug",50,9,-1,0,"unknown","no","25-34"
57,"technician","married","secondary","no",29207,"yes","no","telephone",21,"nov",232,2,-1,0,"unknown","no","55-64"
60,"blue-collar","married","primary","no",29184,"no","no","telephone",15,"jun",94,2,-1,0,"unknown","no","55-64"
38,"self-employed","married","secondary","no",29125,"no","no","unknown",18,"jun",313,2,-1,0,"unknown","no","35-44"
74,"retired","divorced","primary","no",29080,"no","no","cellular",30,"jun",301,5,93,4,"other","yes","65+"
32,"blue-collar","married","primary","no",29050,"yes","yes","unknown",21,"may",563,2,-1,0,"unknown","no","25-34"
39,"management","married","tertiary","no",28433,"no","no","cellular",13,"aug",247,2,-1,0,"unknown","no","35-44"
58,"self-employed","married","secondary","no",28318,"yes","no","cellular",14,"may",168,2,-1,0,"unknown","no","55-64"
43,"technician","single","tertiary","no",27733,"yes","no","unknown",3,"jun",164,7,-1,0,"unknown","no","35-44"
41,"management","married","tertiary","no",27696,"no","no","cellular",30,"apr",108,1,-1,0,"unknown","no","35-44"
41,"management","married","tertiary","no",27696,"no","no","cellular",12,"aug",147,2,104,1,"failure","yes","35-44"
41,"management","married","tertiary","no",27696,"no","no","cellular",12,"feb",138,2,184,3,"success","yes","35-44"
42,"management","married","tertiary","no",27696,"no","no","cellular",12,"may",176,2,89,5,"success","yes","35-44"
42,"management","married","tertiary","no",27696,"no","no","cellular",11,"aug",370,1,91,7,"success","yes","35-44"
55,"entrepreneur","married","secondary","no",27624,"no","no","telephone",3,"jun",437,1,-1,0,"unknown","yes","45-54"
34,"technician","single","secondary","no",27446,"yes","no","cellular",21,"nov",203,2,-1,0,"unknown","no","25-34"
